name,website,vertical ,sub vertical,Descripcion / solución ,país ¿dónde se encuentra su principal sede de operaciones? ,ciudad/región ,Estadío actual ,Teléfono ,Mail ,LINKEDIN,INSTAGRAM ,FACEBOOK,X (twitter),Logo ,Founder/s,Founded,Modelo de Negocio,"DESTACADO/ BADGES ¿QUÉ LA HACE ESPECIAL?""",Funding total 2026,ETAPA DE MADUREZ ¿En qué momento del crecimiento está?,ÁREA INFLUENCIA: ¿qué alcance tiene su solución hoy?,"ESTADIO SOLUCIÓN (¿En qué nivel de madurez tecnológica se encuentra tu proyecto?)""",IMPACTO /SOCIOAMBIENTAL,RESULTADO / OUTCOME ¿QUÉ PASÓ CON LA EMPRESA?
Samsara Eco,https://www.samsaraeco.com/?ref=failory,CIRCULAR ECONOMY,Waste Valorization,"Reciclado de plasticos con enzimas. Samsara Eco opera en las tierras no cedidas de los pueblos Cammeraygal, Gadigal, Ngambri y Ngunnawal.",Australia,,,,,,,,,,,,,,,,,,,
ULUU,https://www.uluu.com.au/?ref=failory,CIRCULAR ECONOMY,recycling,"Biomateriales. Nuestros pellets aptos para moldeo por inyección se pueden utilizar para producir productos rígidos como envases, electrónica de consumo, muebles e interiores de automóviles. ",Australia,,,,,,,,,,,,,,,,,,,
Elmery,https://elmery.fi/?ref=failory,CIRCULAR ECONOMY,recycling,,Finlandia,,,,,,,,,,,,,,,,,,,
Vytal,https://www.vytal.org/?ref=failory,Economía Circular,Packaging Reutilizable,"Sistema de packaging reutilizable para take-away y delivery, con software de gestión de contenedores. Los usuarios toman prestados los envases de socios y los devuelven en cualquier punto de la red.",Alemania,"Colonia, Renania del Norte-Westfalia",Series A / Growth,,,https://www.linkedin.com/company/vytal-global/,,,,,"Dr. Tim Breker, Dr. Fabian Barthel, Sven Witthöft, Dr. Josephine Kreische",2019,,,,,,,,
Recove,https://www.recove.in/?ref=failory,Economía Circular,Reciclaje de Plásticos,Marketplace tecnológico para la industria del reciclaje en India. Conecta generadores de residuos plásticos con recicladores y ofrece infraestructura de preprocesamiento.,India,India,Seed / Pre-Serie A,,,,,,,,Viral Chhajer (CEO & Co-Founder),N/D,,,,,,,,
Paptic,http://www.paptic.com/?ref=failory,Materiales Sostenibles,Packaging Sostenible,Material de packaging renovable y reciclable a base de fibras de madera para reemplazar plásticos en empaques flexibles. Se puede reciclar junto al cartón y el papel.,Finlandia,"Espoo, Finlandiaia",Series A / Growth,,,https://www.linkedin.com/company/paptic-ltd,,,,,"Esa Torniainen, Karita Kinnunen-Raudaskoski, Tuomas Mustonen",2015,,,,,,,,
METYCLE,http://www.metycle.com/?ref=failory,Economía Circular,Comercio de Metales Secundarios,Marketplace gestionado para el comercio internacional de metales secundarios (chatarra). Estados Unidos IA para clasificación y certificación de calidad. Conecta recolectores con recicladores y fundidoras.,Alemania,"Colonia, Alemania",Series A,,founders@metycle.com,https://www.linkedin.com/company/metycle,,,,,"Rafael Suchan, Sebastian Brenner",2022,,,,,,,,
Eeden,https://eeden.world/?ref=failory,Economía Circular,Reciclaje Textil,"Tecnología de reciclaje químico que separa celulosa pura y monómeros PET de mezclas algodón-poliéster. Los materiales recuperados se Estados Unidosn para producir fibras de calidad virgen (lyocell, viscosa, poliéster).",Alemania,"Münster, Alemania",Series A,,hertrampf@eeden.world,,,,,,"Steffen Gerlach (CEO), Dr. Tobias Börnhorst (CTO)",2019,,,,,,,,
Metalshub,https://www.metals-hub.com/?ref=failory,Industria / Software B2B,SaaS para Metales y Minería,"Plataforma SaaS vertical e índices de precios para la industria de metales, minería y reciclaje. Digitaliza procurement, ventas y trading de materias primas. También opera bajo la marca Metis para datos de precios.",Alemania,"Düsseldorf, Alemania",Series A / Growth,,,,,,,,N/D,2016,,,,,,,,
Recyda GmbH,https://www.recyda.com/?ref=failory,ClimaTech / SaaS,Software Sostenibilidad de Packaging,"Software SaaS para gestión sostenible de packaging. Permite evaluar reciclabilidad de envases según regulaciones internacionales, calcular tasas EPR (Extended Producer Responsibility) y gestionar datos de packaging.",Alemania,"Friburgo de Brisgovia, Alemania",Series A,,,https://www.linkedin.com/company/recyda,,,,,"Vivian Loftin (CMO), Anna Zießow (CPO), Christian Knobloch (CEO)",2020,,,,,,,,
Fazla Gıda,https://fazla.com/?ref=failory,FoodTech / Economía Circular,Gestión de Excedentes Alimentarios,"Plataforma cloud B2B para gestión de inventarios excedentes alimentarios. Redistribuye surplus a bancos de alimentos, canales HoReCa, producción de alimento animal y plantas de biogás. B Corp certificado.",Turquía,"Estambul, Turquía",Series A / Growth,,,,,,,,Olcay Silahlı (CEO & Founder),2017,,,,,,,,
everox (former C2CA),http://www.everox.tech/?ref=failory,Economía Circular,Tecnología de Reciclaje,Tecnología avanzada de reciclaje (información limitada disponible públicamente).,N/D,N/D,Early Stage,,,,,,,,N/D,N/D,,,,,,,,
Matter.,https://matter.industries/?ref=failory,CleanTech,Filtración de Microplásticos,"Tecnología de filtración pionera para capturar y reciclar microplásticos, principalmente de lavadoras domésticas y procesos industriales textiles. Producto principal: Regen.® - filtro que captura microplásticos antes de que lleguen al medioambiente.",Reino Unido,"Bristol, Reino Unido",Series A,,hello@matter.industries,https://Reino Unido.linkedin.com/company/matterindustries,,,,,Adam Root (Founder & CEO),2018,,,,,,,,
eureciclo,https://alias.eureciclo.com.br/?ref=failory,Economía Circular,Logística Inversa / Certificación de Reciclaje,Mayor certificadora de logística inversa de envases en Brasil. Conecta empresas con recicladores para compensar el impacto ambiental del packaging. Permite cumplir con la Política Nacional de Residuos Sólidos (PNRS) de Brasil.,Brasil,"São Paulo, Brasil",Series B / Growth,,contato@eureciclo.com.br,https://www.linkedin.com/company/seloeureciclo,,,,,Thiago Pinto (CEO & Co-Founder),2015,,,,,,,,
Ionic Technologies,https://ionictechnologies.com/?ref=failory,Economía Circular / Minería Urbana,Reciclaje de Imanes de Tierras Raras,"Tecnología patentada para el reciclaje de imanes permanentes y recuperación de elementos de tierras raras (REE). Spin-out de Queen's University Belfast, filial 100% de Ionic Rare Earths Ltd.",Reino Unido,"Belfast, Irlanda del Norte, Reino Unido",Early/Growth Stage,,,https://www.linkedin.com/company/ionic-technologies/,,,,,N/D (spin-out Queen's University Belfast),N/D,,,,,,,,
Ecobean,https://ecobean.pl/?ref=failory,Economía Circular,Valorización de Residuos de Café,Empresa tecnológica que extiende la cadena de valor del café convirtiéndolo en materias primas verdes y químicos sostenibles. Recoge posos de café Estados Unidosdos y los transforma en materiales circulares. Spin-out de Warsaw University of Technology.,Polonia,"Varsovia, Polonia",Early Stage / Seed,,,https://www.linkedin.com/company/eco-bean/,,,,,"Marcin Koziorowski, Kacper Kossowski",N/D,,,,,,,,
Cyclize,https://www.cyclize.de/?ref=failory,Economía Circular,Reciclaje Químico,Soluciones de reciclaje químico para plásticos (información limitada disponible públicamente). Startup alemana.,Alemania,Alemania,Early Stage,,,,,,,,N/D,N/D,,,,,,,,
Re-Fresh Global,http://re-fresh.global/?ref=failory,Economía Circular,Upcycling / Materiales Sostenibles,Plataforma global de economía circular (información limitada disponible públicamente).,N/D,N/D,Early Stage,,,,,,,,N/D,N/D,,,,,,,,
Horen,https://www.xiangxiang.com/?ref=failory,Economía Circular,Plataforma de Reciclaje Digital,Plataforma digital de reciclaje (China). Información limitada disponible en inglés.,China,China,N/D,,,,,,,,N/D,N/D,,,,,,,,
Resortecs,https://resortecs.com/?ref=failory,Economía Circular,Reciclaje Textil / Ecodiseño,Empresa de ecodiseño que desarrolla hilos de costura termosolubles (Smart Stitch™) y sistemas de desmontaje térmico (Smart Disassembly™) para facilitar el reciclaje industrial de textiles. Permite reciclar hasta el 90% del tejido original.,Bélgica,"Bruselas / Lievegem, Bélgica",Series A,,,https://be.linkedin.com/company/resortecs,,,,,"Cédric Vanhoeck, Vanessa Counaert",2017,,,,,,,,
Keey Aerogel,https://keey-aerogel.com/?ref=failory,Materiales Avanzados / CleanTech,Aislamiento Sostenible,Desarrolla aerogel sostenible como material de aislamiento de alto rendimiento (información limitada disponible públicamente).,N/D,N/D,Early Stage,,,,,,,,N/D,N/D,,,,,,,,
Tiptapp,https://www.tiptapp.com/?ref=failory,Economía Circular / Logística,Plataforma de Reutilización / Recogida de Residuos,App de economía colaborativa que conecta personas que quieren deshacerse de objetos con quienes los recogen (para reutilización o reciclaje). Funciona como un 'Uber' para la recogida de objetos voluminosos y residuos.,Suecia,Suecia,Growth Stage,,,,,,,,N/D,N/D,,,,,,,,
Kokhavynska Paper Factory,https://kpf.ua/?ref=failory,Economía Circular,Reciclaje / Gestión de Residuos,Plataforma ucraniana de gestión de residuos y reciclaje (información limitada disponible públicamente).,Ucrania,Ucrania,Early Stage,,,,,,,,N/D,N/D,,,,,,,,
Plastiks,https://www.plastiks.io/?ref=failory,Economía Circular / Web3,Créditos de Recuperación de Plástico / Blockchain,Marketplace blockchain para créditos de recuperación de plástico. Conecta empresas con proyectos de recuperación de plástico verificados para compensar su huella de plástico y reportar impacto ambiental.,España,España,Early/Growth Stage,,,,,,,,N/D,N/D,,,,,,,,
ALIER,https://www.alier.com/?ref=failory,AgriTech / Sostenibilidad,Fertilizantes Orgánicos / Economía Circular Agrícola,"Empresa de fertilizantes orgánicos y enmiendas para suelos, con enfoque en sostenibilidad agrícola y economía circular (información limitada disponible).",España,España,N/D,,,,,,,,N/D,N/D,,,,,,,,
ScrapAd,http://www.scrapad.com/?ref=failory,Economía Circular,Marketplace de Materiales Reciclables,"Marketplace global para la compra y venta de materiales reciclables (metales, plásticos, tubos, papel, cables) en más de 125 países. Verifica empresas y materiales para garantizar transacciones seguras e incluye gestión logística.",España,"Eibar / Madrid, España",Series A,,,,,,,,N/D,2018-2020,,,,,,,,
Umincorp,http://www.umincorp.com/?ref=failory,Economía Circular,Reciclaje de Plásticos Mixtos,Tecnología de separación y reciclaje de plásticos mixtos post-consumo mediante procesos de densidad en agua. Permite reciclar plásticos que normalmente van a vertedero.,Países Bajos,Países Bajos,Growth Stage,,,,,,,,N/D,N/D,,,,,,,,
Natural World Products,https://www.naturalworldproducts.com/?ref=failory,Economía Circular,Productos de Limpieza Sostenibles,Productos de limpieza sostenibles y naturales con packaging responsable (información limitada disponible).,N/D,N/D,N/D,,,,,,,,N/D,N/D,,,,,,,,
Mimbly,https://www.mimbly.se/?ref=failory,CleanTech,Filtración de Agua / Microplásticos en Lavadoras,Dispositivo Mimbox que se conecta a lavadoras para capturar microplásticos y microfibras del agua de lavado antes de que lleguen al desagüe. También ahorra agua y energía.,Suecia,Suecia,Seed / Early Stage,,,,,,,,N/D,N/D,,,,,,,,
Tri’n’collect,https://www.tri-n-collect.fr/?ref=failory,Economía Circular,Recogida Selectiva de Residuos,Solución francesa de recogida y clasificación selectiva de residuos (información limitada disponible públicamente).,Francia,Francia,Early Stage,,,,,,,,N/D,N/D,,,,,,,,
SCOP3,https://www.scop3.com/?ref=failory,ClimaTech / SaaS,Medición de Emisiones Scope 3,"Plataforma de medición y gestión de emisiones de CO2 de Alcance 3 (cadena de suministro). Ayuda a empresas a calcular, reportar y reducir su huella de carbono indirecta.",N/D,N/D,Early/Growth Stage,,,,,,,,N/D,N/D,,,,,,,,
Kora,http://www.kora.app/?ref=failory,Finanzas Sostenibles / App,Finanzas Personales Verdes,App de finanzas personales con enfoque en sostenibilidad e impacto ambiental (información limitada disponible públicamente).,N/D,N/D,Early Stage,,,,,,,,N/D,N/D,,,,,,,,
Loopfront,https://www.loopfront.com/en/?ref=failory,Economía Circular,Marketplace de Materiales de Segunda Mano (Construcción),Plataforma digital de economía circular para materiales de construcción y mobiliario de segunda mano. Conecta empresas que tienen excedentes con quienes los necesitan.,Noruega,Noruega,Growth Stage,,,,,,,,N/D,N/D,,,,,,,,
Glenntex AB,https://www.glenntex.com/?ref=failory,Economía Circular / Textil,Reciclaje Textil,Soluciones de reciclaje textil (información limitada disponible públicamente).,N/D,N/D,Early Stage,,,,,,,,N/D,N/D,,,,,,,,
Myco,https://www.myco.cz/en/?ref=failory,Materiales Sostenibles / BioTech,Materiales de Micelio,Empresa checa que desarrolla biomateriales a base de micelio (hongos) como alternativa sostenible a materiales tradicionales para packaging u otras aplicaciones.,República Checa,República Checa,Early Stage,,,,,,,,N/D,N/D,,,,,,,,
ERTH,https://www.erth.app/?ref=failory,ClimaTech / App,Huella de Carbono Personal,"App que ayuda a los usuarios a medir, entender y reducir su huella de carbono personal y el impacto medioambiental de sus compras y actividades cotidianas.",N/D,N/D,Early Stage,,,,,,,,N/D,N/D,,,,,,,,
Doll'App,https://dollapp.co/?ref=failory,Economía Circular / Fashion,Segunda Mano / Reventa de Moda,Plataforma de reventa y segunda mano de moda (información limitada disponible públicamente).,N/D,N/D,Early Stage,,,,,,,,N/D,N/D,,,,,,,,
MarinaTex,https://www.marinatex.co.Reino Unido/?ref=failory,Materiales Sostenibles / BioTech,Bioplásticos a base de residuos marinos,Desarrolla bioplásticos a partir de residuos de la industria pesquera (desechos de peces y algas). Material biodegradable y compostable como alternativa al plástico convencional.,Reino Unido,Reino Unido,Early Stage / R&D,,,,,,,,Lucy Hughes,N/D,,,,,,,,
AMCS Group,http://www.amcsgroup.com/?ref=failory,SaaS / GreenTech,Software para Gestión de Residuos y Reciclaje,"Plataforma de software empresarial para la industria de residuos, reciclaje y recursos. Optimiza operaciones de recogida, transporte, procesamiento y venta de materiales reciclables para empresas de gestión de residuos.",Irlanda,"Limerick, Irlanda",Maduro / Scale-up,,,,,,,,N/D,N/D,,,,,,,,
Healthcann,http://healthcann.eu/?ref=failory,AgriTech / Materiales Sostenibles,Productos derivados del cáñamo industrial,"Productos sostenibles derivados del cáñamo industrial para industrias diversas (construcción, alimentación, textil). Economía circular basada en biomateriales.",Europa (N/D exacto),N/D,Early Stage,,,,,,,,N/D,N/D,,,,,,,,
SpexAI GmbH,https://www.spexai.com/?ref=failory,CleanTech / AI,IA para Clasificación de Residuos / Reciclaje,Inteligencia artificial para clasificación y análisis de materiales en plantas de reciclaje. Mejora la eficiencia del proceso de clasificación Estados Unidosndo visión por computadora.,Países Bajos,Países Bajos,Early/Growth Stage,,,,,,,,N/D,N/D,,,,,,,,
Clarity AI,https://clarity.ai/?ref=failory,FinTech / ESGTech,Análisis de Sostenibilidad e Impacto ESG,"Plataforma tecnológica de sostenibilidad que Estados Unidos IA y machine learning para evaluar impacto ambiental y social de empresas, fondos y carteras de inversión. Sirve a gestores de activos, bancos e inversores institucionales. Cubre 98k emisores, 2.3M empresas privadas, 450k fondos.",España,Madrid,Growth / Late Stage,,,https://www.linkedin.com/company/clarity-ai,,,,,Rebeca Minguela (CEO & Founder),2017,,,,,,,,
Motiv Electric Trucks,http://motivps.com/?ref=failory,CleanTech / Energía,Gestión de Energía / Sostenibilidad Industrial,Soluciones de gestión de energía y sostenibilidad para industrias (información limitada disponible públicamente).,N/D,N/D,N/D,,,,,,,,N/D,N/D,,,,,,,,
Fortera,https://forteraglobal.com/?ref=failory,CleanTech / Materiales,Cemento / Concreto de Baja Emisión,Tecnología para producir cemento y concreto con significativamente menos emisiones de CO2 que el cemento Portland convencional. Estados Unidos reacciones electroquímicas para capturar CO2 del proceso de fabricación.,Estados Unidos.,Estados Unidos.,Growth / Series B,,,,,,,,N/D,N/D,,,,,,,,
NoTraffic,http://notraffic.com/?ref=failory,CleanTech / AI |Smart City,Gestión Inteligente del Tráfico,"Plataforma de gestión inteligente del tráfico basada en IA. Optimiza semáforos y flujo vehicular en tiempo real para reducir congestión, emisiones y mejorar la movilidad urbana.",Israel,Israel ,Series B / Growth,,,,,,,,N/D,N/D,,,,,,,,
Rad Power Bikes,http://www.radpowerbikes.com/?ref=failory,CleanTech / AI,Bicicletas Eléctricas,"Marca de bicicletas eléctricas más grande de Norteamérica. Modelo de venta directa al consumidor (D2C). Ofrece e-bikes para uso personal, carga y entrega. Democratiza la movilidad eléctrica de bajo carbono.",Estados Unidos.,"Seattle, Washington",Growth / Late Stage,,,https://www.linkedin.com/company/rad-power-bikes,,,,,"Mike Radenbaugh, Ty Collins, Marimar White-Espin",2007,,,,,,,,
Amogy,https://www.amogy.co/?ref=failory,Energía,Hidrógeno / Amoniaco,Tecnología de cracking de amoniaco para convertir NH₃ líquido en energía eléctrica limpia para sectores marítimos e industria pesada.,Estados Unidos,"Brooklyn, NY",Series C+,N/D,info@amogy.co,linkedin.com/company/amogy,instagram.com/amogy_inc,N/D,twitter.com/AmogyCo,,"Seonghoon Woo, Hyunho Kim",2020,B2B · Venta de sistemas + licencias,Fast Company Most Innovative 2024 · World's 1st NH₃-Powered Vessel,,Crecimiento,Global,8,Descarboniza sectores con 60% emisiones globales. 0 CO₂ en punto de uso.,Activa
Natron Energy,http://www.natron.energy/?ref=failory,Energía,Almacenamiento / Baterías,"Baterías de sodio-ion con electrodos de azul de Prusia para data centers, industria y telecomunicaciones. Sin litio ni cobalto.",Estados Unidos,"Santa Clara, CA",Cerrada,N/D,N/D,linkedin.com/company/natron-energy,N/D,N/D,N/D,,Colin Wessells (Stanford PhD),2012,B2B · Venta de sistemas de batería,1er productor US de baterías sodio-ion a escala · TIME100 Climate,,Cerrada,Nacional,7,Alternativa sostenible al litio. Supply chain 100% doméstico en Estados Unidos.,Cerrada
Mill,https://mill.com/?ref=failory,AgriFood,Residuos Orgánicos,Dispositivo doméstico que convierte restos de comida en 'Food Grounds' para alimentar pollos. Modelo de suscripción con recogida mensual.,Estados Unidos,"San Francisco, CA",Series B,N/D,hello@mill.com,linkedin.com/company/millhq,instagram.com/millhq,N/D,twitter.com/millhq,,"Harry Tannenbaum, Matt Rogers (ex-Nest/Apple)",2020,B2C · Suscripción $33/mes + device,MIT TR10 · Breakthrough Energy Ventures,,Escala,Nacional,7,Desperdicio de comida = 8-10% emisiones GEI. Evita metano en vertederos.,Activa
Svante,https://svanteinc.com/?ref=failory,Carbono,Captura de CO₂ (CCU),"Captura de CO₂ con filtros de nanomateriales sólidos para industrias de alta emisión: cemento, acero, hidrógeno.",Canadá,"Vancouver, BC",Series C+,N/D,info@svanteinc.com,linkedin.com/company/svante-inc,N/D,N/D,twitter.com/svanteinc,,Claude Letourneau,2007,B2B · Licencias de tecnología + contratos EPC,Único proceso de captura CO₂ de fuentes industriales diluidas en <1 min,,Crecimiento,Global,7,Industria del cemento = 8% CO₂ mundial. Puede capturar hasta 95% en fuente.,Activa
ICE Thermal Harvesting,http://ice-th.com/?ref=failory,Energía,Calor Residual / ORC,Sistemas ORC para convertir calor residual de bajo grado (50-120°C) de plantas industriales en electricidad útil.,Estados Unidos,"Houston, TX",Series A,N/D,info@ice-th.com,linkedin.com/company/ice-thermal-harvesting,N/D,N/D,N/D,,Peter Dowd,2018,B2B · ESCO / PPA · Contratos de energía,Convierte calor industrial desperdiciado en electricidad sin emisiones,,Escala,Nacional,6,Industria desperdicia ~70% de energía como calor residual.,Activa
itselectric,https://itselectric.us/?ref=failory,Transporte,Carga EV Urbana,Red de cargadores EV de nivel 2 en aceras urbanas Estados Unidosndo postes existentes. Sin obras civiles.,Estados Unidos,"New York, NY",Series A,N/D,hello@itselectric.us,linkedin.com/company/its-electric,instagram.com/itselectric_us,N/D,twitter.com/itselectric_us,,"Caley Buckner, Emily Kessler",2021,B2B2C · Revenue share con propietarios de postes,Carga EV sin excavar calles · Solución para ciudades densas,,Escala,Local/Nacional,6,Democratiza la carga EV para residentes sin garaje.,Activa
Dat Bike,https://dat.bike/?ref=failory,Transporte,Movilidad Eléctrica,"Motocicletas eléctricas diseñadas para mercados del sudeste asiático, adaptadas a condiciones y presupuestos vietnamitas.",Vietnam,Ho Chi Minh City,Series A,N/D,contact@dat.bike,linkedin.com/company/dat-bike,instagram.com/datbikevn,facebook.com/datbikevn,N/D,,Huy Nguyen (ex-Facebook),2019,B2C · Venta directa + financiamiento,Líder motos eléctricas Vietnam · Fundador ex-Facebook,,Escala,Regional (SEA),7,Vietnam tiene 45M+ motos de gasolina. Transición eléctrica eliminaría millones de tons CO₂.,Activa
Metalchemy,https://www.metalchemy.tech/?ref=failory,Industria,Reciclaje de Metales,"Proceso innovador para recuperar metales críticos de residuos industriales Estados Unidosndo química verde, sin pirometalurgia.",Estados Unidos,N/D,Seed,N/D,N/D,linkedin.com/company/metalchemy,N/D,N/D,N/D,,N/D,2021,B2B · Contratos de procesamiento,Recuperación de metales críticos con química verde,,Temprana,Local,4,Metales críticos para baterías. Reciclaje reduce 90% energía vs minería primaria.,Activa
mopo,https://mopo.co/?ref=failory,Transporte,E-bikes Compartidas,Plataforma de e-bikes compartidas para zonas periurbanas y ciudades medianas europeas con suscripción.,Alemania,Berlín,Series A,N/D,info@mopo.co,linkedin.com/company/mopo,instagram.com/mopo_ebikes,N/D,N/D,,N/D,2020,B2C · Suscripción mensual,E-bikes compartidas para ciudades secundarias europeas,,Escala,Regional (Europa),6,Reemplaza viajes cortos en auto (<10km). Reduce emisiones urbanas.,Activa
Aira,https://www.airahome.com/?ref=failory,Energía,Calefacción / Heat Pumps,Bombas de calor para hogares europeos con modelo de suscripción all-inclusive. Alternativa a calderas de gas.,Suecia,Estocolmo,Series B,N/D,info@airahome.com,linkedin.com/company/aira-home,instagram.com/aira.home,N/D,N/D,,Martin Lewerth,2021,B2C · Suscripción all-inclusive €89-149/mes,Spotify para calefacción' · Breakthrough Energy Ventures-backed,,Escala,Regional (Europa),7,Calefacción = 40% consumo energético europeo. Heat pumps reducen 3-4x vs caldera gas.,Activa
Sonnedix,http://sonnedix.com/?ref=failory,Energía,Solar Utility Scale,"Desarrollador y operador global de plantas solares a gran escala. Presencia en Europa, Latam, Japón, Sudáfrica, India.",Reino Unido,Londres,Growth,N/D,info@sonnedix.com,linkedin.com/company/sonnedix,N/D,N/D,twitter.com/sonnedix,,Juan José Porta,2009,IPP · PPA a largo plazo con utilities y corporativos,#ERROR!,,Madurez,Global,9,Más de 3 GW instalados desplazan carbón y gas.,Activa
Charm Industrial,https://www.charmindustrial.com/?ref=failory,Carbono,CDR / Bio-oil,Convierte biomasa agrícola en bio-aceite inyectado en pozos geológicos para almacenamiento permanente de carbono.,Estados Unidos,"San Francisco, CA",Series B,N/D,info@charmindustrial.com,linkedin.com/company/charm-industrial,N/D,N/D,twitter.com/charmindust,,"Peter Reinhardt, Shaun Meehan, Kelly Strayhorn",2018,B2B · Venta de créditos de carbono permanente,"Primer CDR permanente a escala · Clientes: Stripe, Microsoft, McKinsey",,Escala,Global,7,CDR permanente (1000+ años). Estados Unidos residuos agrícolas. Alta aditividad.,Activa
VEMO,https://vemovilidad.com/sobre-nosotros?ref=failory,Transporte,Flotas Eléctricas Latam,Empresa de movilidad eléctrica para flotas corporativas y transporte urbano en mercados hispanohablantes.,España,España / Latam,Series A,N/D,info@vemovilidad.com,linkedin.com/company/ve-movilidad,N/D,N/D,N/D,,N/D,2018,B2B · Leasing de vehículos + servicios de carga,Movilidad eléctrica para Latam y España,,Escala,Regional (Iberoamérica),6,Electrificación de transporte urbano. Mejora calidad del aire.,Activa
Scindo,https://www.scindo.bio/?ref=failory,AgriFood,Biotecnología / Plásticos Bio,Desarrolla enzimas y microorganismos para descomponer plásticos y biomasa lignocelulósica en materiales de valor.,Reino Unido,Londres,Seed,N/D,N/D,linkedin.com/company/scindo-bio,N/D,N/D,N/D,,N/D,2022,B2B · Licencias biotecnológicas,Enzimas diseñadas para degradar plásticos difíciles,,Temprana,Local,3,Plásticos difíciles de reciclar encuentran ruta biológica de degradación.,Activa
Stride,https://www.stride.vn/en?ref=failory,Transporte,Movilidad Urbana Vietnam,"Plataforma MaaS en Vietnam que integra transporte público, scooters y bikes en una sola app.",Vietnam,Hanói,Seed,N/D,N/D,linkedin.com/company/stride-vietnam,N/D,N/D,N/D,,N/D,2021,B2C · Marketplace de movilidad + comisiones,MaaS para Vietnam en crecimiento,,Temprana,Local,4,Optimización de rutas reduce emisiones. Mejora acceso a transporte.,Activa
